Date : 2025-06-23 23:36:10
Directory : d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone
Total : 171 files,  18105 codes, 319 comments, 2411 blanks, all 20835 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| src\contexts\VideoContext                                                                                                       |          2 |        149 |          0 |         22 |        171 |
| src\fakeDB                                                                                                                      |          1 |        321 |         15 |         18 |        354 |
| src\hooks                                                                                                                       |          4 |         60 |          2 |         19 |         81 |
| src\layouts                                                                                                                     |         13 |        877 |         20 |        192 |      1,089 |
| src\layouts (Files)                                                                                                             |          1 |          3 |          1 |          0 |          4 |
| src\layouts\DefaultLayout                                                                                                       |          1 |         18 |          0 |          4 |         22 |
| src\layouts\HeaderOnlyLayout                                                                                                    |          1 |         13 |          0 |          1 |         14 |
| src\layouts\SidebarOnlyLayout                                                                                                   |          1 |         16 |          0 |          3 |         19 |
| src\layouts\components                                                                                                          |          9 |        827 |         19 |        184 |      1,030 |
| src\layouts\components\Header                                                                                                   |          2 |        242 |          5 |         47 |        294 |
| src\layouts\components\Sidebar                                                                                                  |          7 |        585 |         14 |        137 |        736 |
| src\pages                                                                                                                       |         25 |      1,818 |         75 |        343 |      2,236 |
| src\pages\Chat                                                                                                                  |          2 |          6 |          0 |          2 |          8 |
| src\pages\Following                                                                                                             |          2 |          7 |          0 |          3 |         10 |
| src\pages\Home                                                                                                                  |          2 |         23 |          0 |          8 |         31 |
| src\pages\Profile                                                                                                               |          2 |        285 |          7 |         49 |        341 |
| src\pages\Test                                                                                                                  |         14 |      1,235 |         66 |        229 |      1,530 |
| src\pages\Test (Files)                                                                                                          |         10 |      1,220 |         66 |        225 |      1,511 |
| src\pages\Test\Img                                                                                                              |          4 |         15 |          0 |          4 |         19 |
| src\pages\Upload                                                                                                                |          3 |        262 |          2 |         52 |        316 |
| src\pages\Upload (Files)                                                                                                        |          2 |        145 |          0 |         29 |        174 |
| src\pages\Upload\components                                                                                                     |          1 |        117 |          2 |         23 |        142 |
| src\routes                                                                                                                      |          1 |         32 |         10 |          7 |         49 |
| src\services                                                                                                                    |          7 |        284 |          1 |         77 |        362 |
| src\services\apiService                                                                                                         |          1 |         15 |          0 |          2 |         17 |
| src\services\authService                                                                                                        |          1 |         56 |          0 |         16 |         72 |
| src\services\commentsService                                                                                                    |          1 |         85 |          0 |         26 |        111 |
| src\services\userService                                                                                                        |          2 |         71 |          1 |         15 |         87 |
| src\services\videoService                                                                                                       |          2 |         57 |          0 |         18 |         75 |
| src\utils                                                                                                                       |         10 |        366 |         36 |        133 |        535 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                        | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\README.md                                                                      | Markdown       |          5 |          0 |          4 |          9 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\eslint.config.js                                                               | JavaScript     |         37 |          0 |          2 |         39 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\index.html                                                                     | HTML           |         13 |          0 |          1 |         14 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\package-lock.json                                                              | JSON           |      5,291 |          0 |          1 |      5,292 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\package.json                                                                   | JSON           |         39 |          0 |          1 |         40 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\public\vite.svg                                                                | XML            |          1 |          0 |          0 |          1 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\App.jsx                                                                    | JavaScript JSX |         52 |          0 |          8 |         60 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\CommentSide.jsx                                    | JavaScript JSX |         66 |          0 |          4 |         70 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\Header.jsx                                         | JavaScript JSX |        246 |          0 |         20 |        266 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\LoginModal.jsx                                     | JavaScript JSX |        248 |          0 |         13 |        261 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\Profile.jsx                                        | JavaScript JSX |        151 |          1 |         10 |        162 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\Sidebar.jsx                                        | JavaScript JSX |        291 |          0 |         21 |        312 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\Upload.jsx                                         | JavaScript JSX |         29 |          0 |          3 |         32 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\VideoList.jsx                                      | JavaScript JSX |        225 |          0 |         11 |        236 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\VideoPage.jsx                                      | JavaScript JSX |        115 |          0 |          5 |        120 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\index.jsx                                                     | JavaScript JSX |         83 |          0 |          7 |         90 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\images\index.jsx                                                    | JavaScript JSX |          6 |          0 |          1 |          7 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\images\logo.svg                                                     | XML            |         40 |          0 |          1 |         41 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\react.svg                                                           | XML            |          1 |          0 |          0 |          1 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\base\_mixins.scss                                            | SCSS           |         13 |          0 |          3 |         16 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\base\_variables.scss                                         | SCSS           |         60 |          9 |         32 |        101 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\base\animations.scss                                         | SCSS           |         96 |          0 |         14 |        110 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\AuthModal.module.scss                             | SCSS           |        177 |          0 |         35 |        212 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Badge.module.scss                                 | SCSS           |         10 |          0 |          2 |         12 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Button.module.scss                                | SCSS           |         53 |          1 |         13 |         67 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\CommentSide\CommentItem.module.scss               | SCSS           |         89 |          0 |         24 |        113 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\CommentSide\CommentItemSkeleton.module.scss       | SCSS           |         69 |          0 |         17 |         86 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\CommentSide\CommentSide.module.scss               | SCSS           |        179 |          0 |         34 |        213 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\DropDown.module.scss                              | SCSS           |         51 |          0 |         10 |         61 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\DropDownItem.module.scss                          | SCSS           |        167 |          2 |         30 |        199 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\GlobalStyle.scss                                  | SCSS           |         43 |          1 |         10 |         54 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Header.module.scss                                | SCSS           |         61 |          0 |         10 |         71 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\HeaderActionMenu.module.scss                      | SCSS           |         29 |          2 |          6 |         37 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\InputRange.module.scss                            | SCSS           |         31 |          0 |          5 |         36 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\LoginForm_email.module.scss                       | SCSS           |        102 |          0 |         23 |        125 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\LoginItem.module.scss                             | SCSS           |         35 |          0 |          5 |         40 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\LogoutModal.module.scss                           | SCSS           |         75 |          0 |         14 |         89 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ModalContainer.module.scss                 | SCSS           |          0 |          0 |          1 |          1 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ModalRenderer.module.scss                  | SCSS           |          0 |          0 |          1 |          1 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ui\Alert.module.scss                       | SCSS           |         15 |          0 |          5 |         20 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ui\DeleteConfirmComment.module.scss        | SCSS           |         74 |          0 |         14 |         88 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ui\ProfileEditor\PhotoEditor.module.scss   | SCSS           |         48 |          9 |         10 |         67 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Modals\ui\ProfileEditor\ProfileEditor.module.scss | SCSS           |        195 |          4 |         35 |        234 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\MoreOption.module.scss                            | SCSS           |         52 |          0 |         11 |         63 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Navbar.module.scss                                | SCSS           |         52 |          1 |         11 |         64 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\NavbarItem.module.scss                            | SCSS           |         50 |          1 |         11 |         62 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Profile\ProfileHeader.module.scss                 | SCSS           |        158 |          5 |         37 |        200 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Profile\VideoGrid.module.scss                     | SCSS           |         32 |          1 |         10 |         43 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Profile\VideoItem.module.scss                     | SCSS           |         38 |          1 |          7 |         46 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\SearchComponent.module.scss                       | SCSS           |         91 |          0 |         20 |        111 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\SideMenu.module.scss                              | SCSS           |         33 |          0 |          8 |         41 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Sidebar.module.scss                               | SCSS           |        136 |         11 |         27 |        174 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\SidebarSearch.module.scss                         | SCSS           |         52 |          0 |         11 |         63 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\SignupForm_email.module.scss                      | SCSS           |        197 |         16 |         43 |        256 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\TimeLine.module.scss                              | SCSS           |         41 |          0 |          7 |         48 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\Tooltip.module.scss                               | SCSS           |         24 |          0 |          3 |         27 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\UserSuggested.module.scss                         | SCSS           |         46 |          0 |          7 |         53 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\VideoActions.module.scss                          | SCSS           |        105 |          0 |         20 |        125 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\VideoItem.module.scss                             | SCSS           |        178 |          2 |         35 |        215 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\VideoList.module.scss                             | SCSS           |         54 |          0 |         10 |         64 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\VideoPlayer.module.scss                           | SCSS           |          7 |          1 |          1 |          9 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\VolumeControl.module.scss                         | SCSS           |         47 |          1 |          5 |         53 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\components\pages\Upload\UploadZone.module.scss               | SCSS           |        135 |          0 |         28 |        163 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\layouts\DefaultLayout.module.scss                            | SCSS           |          9 |          0 |          2 |         11 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\styles\layouts\SidebarOnlyLayout.module.scss                        | SCSS           |         20 |          0 |          5 |         25 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Badge.jsx                                                       | JavaScript JSX |         21 |          0 |          3 |         24 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Button.jsx                                                      | JavaScript JSX |         56 |          3 |          9 |         68 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\CommentSide\CommentItem.jsx                                     | JavaScript JSX |        177 |          3 |         36 |        216 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\CommentSide\CommentItemSkeleton.jsx                             | JavaScript JSX |         26 |          0 |         11 |         37 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\CommentSide\CommentSide.jsx                                     | JavaScript JSX |        429 |         21 |         67 |        517 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\DropDown.jsx                                                    | JavaScript JSX |         66 |         15 |         15 |         96 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\DropDownItem.jsx                                                | JavaScript JSX |        155 |          0 |         21 |        176 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\GlobalStyle\index.jsx                                           | JavaScript JSX |          8 |          0 |          1 |          9 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Image.jsx                                                       | JavaScript JSX |         26 |          0 |          8 |         34 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\InputRange.jsx                                                  | JavaScript JSX |         73 |          1 |         20 |         94 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ModalContainer.jsx                                       | JavaScript JSX |         11 |          0 |          6 |         17 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ModalRenderer.jsx                                        | JavaScript JSX |         25 |          0 |          7 |         32 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\modalComponents.jsx                                      | JavaScript JSX |         14 |          0 |          4 |         18 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\Alert.jsx                                             | JavaScript JSX |         21 |          0 |          8 |         29 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\LoginForm_email.jsx                         | JavaScript JSX |        136 |          0 |         26 |        162 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\LoginItem.jsx                               | JavaScript JSX |         15 |          0 |          6 |         21 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\LoginModal.jsx                              | JavaScript JSX |        106 |          0 |         21 |        127 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\LogoutModal.jsx                             | JavaScript JSX |         51 |          0 |         16 |         67 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\SignupForm_email.jsx                        | JavaScript JSX |        396 |          0 |         58 |        454 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\AuthModal\index.jsx                                   | JavaScript JSX |        149 |          0 |         24 |        173 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\DeleteConfirmComment.jsx                              | JavaScript JSX |         32 |          0 |         14 |         46 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\ProfileEditor\PhotoEditor.jsx                         | JavaScript JSX |        194 |          6 |         47 |        247 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Modals\ui\ProfileEditor\ProfileEditor.jsx                       | JavaScript JSX |        301 |          3 |         51 |        355 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Profile\ProfileHeader.jsx                                       | JavaScript JSX |        113 |          1 |         17 |        131 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Profile\VideoGrid.jsx                                           | JavaScript JSX |         77 |          6 |         17 |        100 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Profile\VideoItem.jsx                                           | JavaScript JSX |         36 |          1 |          7 |         44 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\SearchComponent.jsx                                             | JavaScript JSX |        108 |          6 |         33 |        147 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Tooltip\Tooltip.jsx                                             | JavaScript JSX |         46 |          0 |          8 |         54 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\Tooltip\TooltipContainer.jsx                                    | JavaScript JSX |         34 |          0 |          8 |         42 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\TimeLine.jsx                                          | JavaScript JSX |        124 |          0 |         36 |        160 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\VideoActions.jsx                                      | JavaScript JSX |        152 |          0 |         22 |        174 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\VideoItem.jsx                                         | JavaScript JSX |        281 |         12 |         51 |        344 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\VideoList.jsx                                         | JavaScript JSX |        124 |          1 |         36 |        161 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\VideoPlayer.jsx                                       | JavaScript JSX |         89 |          0 |         14 |        103 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\components\VideoList\VolumeControl.jsx                                     | JavaScript JSX |         61 |          4 |         21 |         86 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\config\index.jsx                                                           | JavaScript JSX |          5 |          0 |          2 |          7 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\config\routes.jsx                                                          | JavaScript JSX |         10 |          0 |          1 |         11 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\constants\index.jsx                                                        | JavaScript JSX |         57 |          0 |          8 |         65 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\contexts\AuthContext.jsx                                                   | JavaScript JSX |        153 |          5 |         34 |        192 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\contexts\UIContext\UIContext.jsx                                           | JavaScript JSX |         16 |          0 |          8 |         24 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\contexts\UIContext\UIReducer.jsx                                           | JavaScript JSX |         42 |          0 |          8 |         50 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\contexts\VideoContext\VideoContext.jsx                                     | JavaScript JSX |         61 |          0 |         13 |         74 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\contexts\VideoContext\VideoReducer.jsx                                     | JavaScript JSX |         88 |          0 |          9 |         97 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\fakeDB\index.jsx                                                           | JavaScript JSX |        321 |         15 |         18 |        354 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\hooks\debounce.jsx                                                         | JavaScript JSX |         14 |          0 |          5 |         19 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\hooks\index.jsx                                                            | JavaScript JSX |          3 |          0 |          0 |          3 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\hooks\useFollow.jsx                                                        | JavaScript JSX |         28 |          2 |          8 |         38 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\hooks\useMediaQuery.jsx                                                    | JavaScript JSX |         15 |          0 |          6 |         21 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\DefaultLayout\index.jsx                                            | JavaScript JSX |         18 |          0 |          4 |         22 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\HeaderOnlyLayout\index.jsx                                         | JavaScript JSX |         13 |          0 |          1 |         14 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\SidebarOnlyLayout\index.jsx                                        | JavaScript JSX |         16 |          0 |          3 |         19 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Header\HeaderActionMenu.jsx                             | JavaScript JSX |         96 |          5 |         25 |        126 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Header\index.jsx                                        | JavaScript JSX |        146 |          0 |         22 |        168 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\MoreOption.jsx                                  | JavaScript JSX |         83 |          0 |         15 |         98 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\Navbar.jsx                                      | JavaScript JSX |         84 |          0 |         12 |         96 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\NavbarItem.jsx                                  | JavaScript JSX |         40 |          1 |          7 |         48 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\SideMenu.jsx                                    | JavaScript JSX |         20 |          0 |          7 |         27 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\SidebarSearch.jsx                               | JavaScript JSX |        101 |          2 |         26 |        129 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\UserSuggested.jsx                               | JavaScript JSX |         51 |          0 |         19 |         70 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\components\Sidebar\index.jsx                                       | JavaScript JSX |        206 |         11 |         51 |        268 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\layouts\index.jsx                                                          | JavaScript JSX |          3 |          1 |          0 |          4 |
| d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\main.jsx                                                                   | JavaScript JSX |          9 |          2 |          3 |         14 |
